705.894	2045759
705.812	2045676
705.730	2046239
705.649	2047814
705.567	2048976
705.485	2049174
705.403	2051019
705.321	2050789
705.239	2051755
705.157	2053014
705.076	2054180
704.994	2056394
704.912	2055809
704.830	2056283
704.748	2057239
704.666	2058555
704.584	2060893
704.502	2061633
704.421	2062660
704.339	2063502
704.257	2064480
704.175	2065679
704.093	2066844
704.011	2066365
703.929	2068435
703.848	2068958
703.766	2069828
703.684	2070731
703.602	2072536
703.520	2073822
703.438	2074569
703.356	2075235
703.274	2075574
703.193	2076082
703.111	2077271
703.029	2078153
702.947	2078618
702.865	2078748
702.783	2080139
702.701	2082483
702.620	2081736
702.538	2083374
702.456	2083289
702.374	2084858
702.292	2085894
702.210	2087171
702.128	2088034
702.047	2088825
701.965	2088796
701.883	2091007
701.801	2090448
701.719	2091813
701.637	2094285
701.555	2093904
701.473	2094615
701.392	2094754
701.310	2096175
701.228	2097135
701.146	2097169
701.064	2098966
700.982	2099631
700.900	2099750
700.819	2100866
700.737	2101554
700.655	2102919
700.573	2104320
700.491	2103301
700.409	2104820
700.327	2107253
700.245	2108564
700.164	2108490
700.082	2109274
700.000	2110694
699.918	2112551
699.836	2112079
699.754	2112694
699.672	2112989
699.591	2113318
699.509	2114947
699.427	2114986
699.345	2115721
699.263	2116437
699.181	2117705
699.099	2118463
699.018	2119843
698.936	2119830
698.854	2120458
698.772	2120974
698.690	2123033
698.608	2123270
698.526	2123669
698.444	2123429
698.363	2124837
698.281	2124557
698.199	2126344
698.117	2127165
698.035	2126344
697.953	2127610
697.871	2128931
697.790	2129912
697.708	2130439
697.626	2131143
697.544	2131982
697.462	2132643
697.380	2132111
697.298	2133589
697.216	2133908
697.135	2134929
697.053	2135999
696.971	2136184
696.889	2137370
696.807	2137838
696.725	2138118
696.643	2138590
696.562	2140091
696.480	2139656
696.398	2140943
696.316	2141216
696.234	2143589
696.152	2143515
696.070	2144528
695.989	2144866
695.907	2145399
695.825	2144699
695.743	2145127
695.661	2146155
695.579	2145766
695.497	2146337
695.415	2146002
695.334	2146389
695.252	2146374
695.170	2148364
695.088	2147826
695.006	2148327
694.924	2148446
694.842	2149257
694.761	2149751
694.679	2149847
694.597	2150662
694.515	2150924
694.433	2150826
694.351	2151244
694.269	2150493
694.188	2151231
694.106	2152772
694.024	2153781
693.942	2153809
693.860	2154093
693.778	2155608
693.696	2154847
693.614	2154848
693.533	2155990
693.451	2155632
693.369	2156517
693.287	2156329
693.205	2155942
693.123	2157733
693.041	2157416
692.960	2157658
692.878	2158257
692.796	2157887
692.714	2157861
692.632	2158729
692.550	2158356
692.468	2158555
692.386	2158445
692.305	2158491
692.223	2159308
692.141	2159720
692.059	2159945
691.977	2159583
691.895	2160765
691.813	2161510
691.732	2161746
691.650	2162658
691.568	2162204
691.486	2162263
691.404	2162092
691.322	2162327
691.240	2163086
691.159	2162291
691.077	2162556
690.995	2162664
690.913	2163209
690.831	2163951
690.749	2162488
690.667	2164249
690.585	2163740
690.504	2163738
690.422	2164781
690.340	2163402
690.258	2164322
690.176	2164397
690.094	2164161
690.012	2163772
689.931	2164042
689.849	2165354
689.767	2166710
689.685	2167265
689.603	2166766
689.521	2167166
689.439	2167928
689.357	2166550
689.276	2166696
689.194	2167083
689.112	2167602
689.030	2166830
688.948	2167115
688.866	2167399
688.784	2166832
688.703	2167370
688.621	2166178
688.539	2166958
688.457	2165776
688.375	2166050
688.293	2166297
688.211	2166106
688.130	2167376
688.048	2166555
687.966	2166868
687.884	2166694
687.802	2166583
687.720	2168536
687.638	2167865
687.556	2167960
687.475	2168738
687.393	2167699
687.311	2168252
687.229	2167222
687.147	2168028
687.065	2168634
686.983	2168831
686.902	2168881
686.820	2167421
686.738	2167541
686.656	2166915
686.574	2167400
686.492	2166209
686.410	2166220
686.328	2166553
686.247	2167157
686.165	2166260
686.083	2165484
686.001	2166912
685.919	2166829
685.837	2165759
685.755	2166409
685.674	2165868
685.592	2166612
685.510	2164855
685.428	2164863
685.346	2164911
685.264	2164687
685.182	2163621
685.101	2164720
685.019	2164895
684.937	2164435
684.855	2163952
684.773	2163997
684.691	2163498
684.609	2162604
684.527	2163625
684.446	2162977
684.364	2162518
684.282	2161565
684.200	2161814
684.118	2161065
684.036	2160527
683.954	2160844
683.873	2160778
683.791	2159977
683.709	2160045
683.627	2160521
683.545	2160176
683.463	2160591
683.381	2160497
683.300	2160056
683.218	2159527
683.136	2157470
683.054	2157984
682.972	2158323
682.890	2158238
682.808	2157222
682.726	2157281
682.645	2156748
